,user_id,top_5_lvl_2_boosting_recs
0,1,"[940947, 1004906, 933835, 1018740, 986912]"
1,2,"[899624, 940947, 866211, 951412, 878996]"
2,3,"[854405, 823704, 940947, 8090521, 1122358]"
3,6,"[986912, 5568378, 5569845, 913210, 983584]"
4,7,"[1122358, 1122358, 5568378, 854405, 823704]"
5,8,"[857503, 1029743, 1029743, 1004906, 1132771]"
6,9,"[1029743, 1106523, 1029743, 5569230, 5568378]"
7,10,"[986912, 1106523, 1132771, 933835, 1040807]"
8,13,"[1004906, 878996, 1029743, 1029743, 8090521]"
9,14,"[5568378, 5569471, 844179, 1029743, 1029743]"
10,15,"[1070820, 8090521, 8090537, 5569471, 1126899]"
11,16,"[5569230, 1106523, 1029743, 1029743, 1126899]"
12,18,"[951412, 866211, 1040807, 986912, 933835]"
13,19,"[1029743, 1029743, 1029743, 1029743, 1106523]"
14,20,"[1126899, 1126899, 1126899, 1126899, 1126899]"
15,21,"[834117, 1029743, 1029743, 1106523, 5569230]"
16,22,"[854852, 1070820, 1037840, 1075368, 983584]"
17,23,"[5568378, 5569845, 913210, 983584, 834117]"
18,24,"[1106523, 866211, 5568378, 1075368, 1037840]"
19,25,"[823704, 1043751, 8090521, 844179, 6034857]"
20,26,"[1081177, 940947, 823704, 854405, 1029743]"
21,27,"[986912, 1075368, 1037840, 951412, 901062]"
22,28,"[878996, 1070820, 1126899, 1044078, 844179]"
23,29,"[1075368, 1037840, 1101010, 880150, 1043751]"
24,30,"[1029743, 1029743, 1106523, 5569230, 1126899]"
25,31,"[1040807, 1070820, 866211, 916122, 5569230]"
26,32,"[951412, 1105488, 1037840, 857503, 1122358]"
27,33,"[1081177, 844179, 916122, 874972, 880150]"
28,34,"[1101010, 5569471, 1029743, 1106523, 5569230]"
29,35,"[5569845, 1070820, 8090521, 8090537, 5569471]"
30,36,"[866211, 866211, 866211, 901062, 916122]"
31,37,"[1122358, 5568378, 5569845, 913210, 983584]"
32,39,"[1004906, 1127831, 866211, 878996, 854852]"
33,40,"[5585510, 913210, 916122, 874972, 908318]"
34,41,"[12810393, 5585510, 913210, 874972, 1075368]"
35,42,"[874972, 916122, 1029743, 1029743, 880150]"
36,43,"[8090521, 8090537, 5569471, 5568378, 834117]"
37,46,"[1004906, 878996, 8090537, 1029743, 1029743]"
38,47,"[1029743, 1029743, 1106523, 854405, 823704]"
39,49,"[916122, 844179, 880150, 874972, 1044078]"
40,50,"[1029743, 1029743, 854405, 823704, 940947]"
41,51,"[1004906, 1029743, 1029743, 874972, 5569845]"
42,52,"[1106523, 5569230, 1081177, 5569471, 1004906]"
43,53,"[6034857, 6034857, 5569471, 844179, 916122]"
44,55,"[899624, 1004906, 8090537, 878996, 8090521]"
45,56,"[5569230, 6034857, 844179, 899624, 908318]"
46,57,"[854852, 951412, 1105488, 834117, 1081177]"
47,58,"[1070820, 901062, 933835, 986912, 1040807]"
48,59,"[899624, 908318, 901062, 951412, 1105488]"
49,62,"[5568378, 1037840, 1122358, 5569845, 913210]"
50,63,"[1122358, 1106523, 5568378, 5569845, 913210]"
51,64,"[1004906, 1122358, 983584, 913210, 5569845]"
52,65,"[986912, 986912, 986912, 5568378, 834117]"
53,67,"[866211, 866211, 878996, 985999, 1004906]"
54,68,"[5568378, 1101010, 1101010, 1004906, 1004906]"
55,69,"[844179, 1106523, 1106523, 1044078, 985999]"
56,70,"[1037840, 1075368, 916122, 1044078, 1126899]"
57,71,"[916122, 899624, 1101010, 854405, 940947]"
58,72,"[1070820, 866211, 8090521, 878996, 8090537]"
59,75,"[1029743, 1029743, 1106523, 5569230, 1126899]"
60,77,"[1126899, 854405, 857503, 880150, 901062]"
61,78,"[5585510, 6034857, 1081177, 1075368, 899624]"
62,79,"[8090521, 8090537, 5569471, 1075368, 834117]"
63,80,"[986912, 901062, 1075368, 854405, 823704]"
64,81,"[983584, 913210, 5569845, 5568378, 1037840]"
65,82,"[1106523, 1029743, 1029743, 5569230, 1126899]"
66,83,"[913210, 5569845, 5568378, 1122358, 983584]"
67,84,"[8090537, 5569471, 834117, 983584, 913210]"
68,85,"[908318, 940947, 965267, 5585510, 6034857]"
69,86,"[1106523, 1101010, 1132771, 1043751, 1018740]"
70,87,"[5569230, 5569845, 983584, 834117, 5569471]"
71,88,"[878996, 8090521, 8090521, 8090521, 1070820]"
72,90,"[1070820, 1127831, 866211, 878996, 1004906]"
73,91,"[1029743, 1029743, 8090521, 1070820, 1126899]"
74,92,"[880150, 8090521, 1029743, 1029743, 1106523]"
75,94,"[878996, 866211, 1132771, 1043751, 986912]"
76,95,"[823704, 1018740, 940947, 854405, 1075368]"
77,97,"[1075368, 1075368, 844179, 1122358, 908318]"
78,98,"[866211, 866211, 6034857, 1127831, 878996]"
79,99,"[866211, 940947, 5568378, 1127831, 857503]"
80,100,"[985999, 12810393, 854405, 823704, 940947]"
81,101,"[1106523, 1081177, 899624, 916122, 8090521]"
82,103,"[1126899, 1127831, 866211, 8090521, 878996]"
83,104,"[1044078, 866211, 1043751, 1132771, 8090537]"
84,105,"[899624, 878996, 866211, 1004906, 854852]"
85,106,"[916122, 844179, 8090521, 5568378, 5569845]"
86,107,"[1037840, 1126899, 1029743, 1029743, 1106523]"
87,109,"[916122, 999858, 951412, 1037840, 823704]"
88,110,"[1106523, 1044078, 844179, 1037840, 985999]"
89,111,"[5569845, 5568378, 1037840, 1122358, 913210]"
90,112,"[1029743, 1029743, 1106523, 5569230, 1126899]"
91,113,"[1070820, 844179, 1070820, 1070820, 6034857]"
92,114,"[1029743, 1029743, 1044078, 878996, 916122]"
93,115,"[913210, 866211, 1127831, 878996, 1004906]"
94,116,"[5569845, 5568378, 1122358, 913210, 983584]"
95,117,"[1037840, 1075368, 901062, 983584, 12810393]"
96,118,"[1126899, 1029743, 1029743, 1106523, 5569230]"
97,119,"[940947, 823704, 854405, 1070820, 8090521]"
98,121,"[8090537, 854405, 823704, 1132771, 1122358]"
99,122,"[1029743, 1029743, 1106523, 5569230, 1126899]"
100,123,"[1004906, 1029743, 1029743, 1029743, 1029743]"
101,124,"[844179, 1029743, 1029743, 1106523, 1122358]"
102,125,"[8090537, 5585510, 913210, 866211, 844179]"
103,126,"[983584, 5569230, 1126899, 1070820, 8090521]"
104,127,"[844179, 1044078, 12810393, 913210, 5568378]"
105,128,"[1029743, 1029743, 866211, 901062, 857503]"
106,131,"[1081177, 854852, 1004906, 878996, 866211]"
107,132,"[1126899, 854852, 866211, 1122358, 5568378]"
108,133,"[1081177, 866211, 854405, 823704, 940947]"
109,134,"[913210, 1126899, 1070820, 1029743, 1029743]"
110,135,"[5569845, 8090521, 8090537, 5569471, 1075368]"
111,136,"[899624, 8090521, 8090537, 1075368, 1037840]"
112,138,"[5569230, 1132771, 1122358, 5569845, 986912]"
113,139,"[8090537, 5569230, 5569471, 986912, 933835]"
114,140,"[857503, 1122358, 951412, 1105488, 901062]"
115,141,"[1126899, 1029743, 1029743, 1106523, 5569230]"
116,142,"[1081177, 6034857, 5585510, 965267, 908318]"
117,143,"[1106523, 880150, 1122358, 985999, 999858]"
118,146,"[823704, 854405, 940947, 5569471, 1126899]"
